# Residuals   
# Time        	p             	Ux            	Uy            	k             	omega         	ReThetat      	gammaInt      
98            	3.221863e-02	3.544466e-03	5.238937e-03	6.781366e-03	6.759880e-03	5.345522e-03	2.098994e-03
99            	3.187334e-02	3.562924e-03	5.162185e-03	6.695365e-03	6.673825e-03	5.295312e-03	2.124305e-03
100           	3.325273e-02	3.547531e-03	5.013766e-03	6.611212e-03	6.589629e-03	5.245364e-03	2.129488e-03
101           	3.103557e-02	3.537733e-03	4.862657e-03	6.528843e-03	6.507236e-03	5.196200e-03	2.130970e-03
102           	3.066822e-02	3.529189e-03	4.747481e-03	6.448188e-03	6.426593e-03	5.146670e-03	2.148397e-03
103           	3.147061e-02	3.513726e-03	4.668558e-03	6.369214e-03	6.347646e-03	5.097155e-03	2.169867e-03
104           	3.113532e-02	3.487626e-03	4.598779e-03	6.291852e-03	6.270343e-03	5.048468e-03	2.188915e-03
105           	2.988804e-02	3.470584e-03	4.521404e-03	6.216057e-03	6.194639e-03	5.000590e-03	2.207925e-03
106           	3.006155e-02	3.452729e-03	4.455161e-03	6.141778e-03	6.120489e-03	4.953573e-03	2.239760e-03
107           	3.042743e-02	3.432634e-03	4.369671e-03	6.068978e-03	6.047848e-03	4.907686e-03	2.271807e-03
108           	2.926200e-02	3.416964e-03	4.299628e-03	5.997598e-03	5.976668e-03	4.863019e-03	2.294265e-03
109           	2.954492e-02	3.402924e-03	4.245487e-03	5.927616e-03	5.906885e-03	4.819408e-03	2.324306e-03
110           	2.913954e-02	3.378257e-03	4.177918e-03	5.858989e-03	5.838476e-03	4.777757e-03	2.367487e-03
111           	2.778127e-02	3.370603e-03	4.133617e-03	5.791679e-03	5.771418e-03	4.736798e-03	2.403751e-03
112           	2.774400e-02	3.360820e-03	4.093799e-03	5.725652e-03	5.705672e-03	4.696944e-03	2.452556e-03
113           	2.730528e-02	3.340892e-03	4.068829e-03	5.660876e-03	5.641205e-03	4.658524e-03	2.496579e-03
114           	2.769782e-02	3.328889e-03	4.053721e-03	5.597314e-03	5.577981e-03	4.620877e-03	2.525650e-03
115           	2.798993e-02	3.313381e-03	4.037011e-03	5.534929e-03	5.515968e-03	4.584022e-03	2.572619e-03
116           	2.770967e-02	3.285721e-03	4.028258e-03	5.473700e-03	5.455133e-03	4.548184e-03	2.598028e-03
117           	2.806942e-02	3.246398e-03	4.001504e-03	5.413633e-03	5.395447e-03	4.512129e-03	2.605276e-03
118           	2.717769e-02	3.215282e-03	3.976271e-03	5.354679e-03	5.336879e-03	4.476693e-03	2.611039e-03
119           	2.812683e-02	3.175654e-03	3.941856e-03	5.296813e-03	5.279400e-03	4.441232e-03	2.601254e-03
120           	2.596462e-02	3.144856e-03	3.925906e-03	5.239977e-03	5.222983e-03	4.405417e-03	2.616993e-03
121           	2.643805e-02	3.101904e-03	3.894419e-03	5.184143e-03	5.167599e-03	4.369434e-03	2.605441e-03
